Sample:	'1
File name:	t2025052207 058ÏçµÀÇÅ.FD3
Run date:	'14:14:47, 05/23/2025
Operator:	Administrator
Comment:	'

Instrument
Model:	F-2700 FL Spectrophotometer
Serial number:	23B8-004
ROM Version:	4J14000 07

Instrument parameters
Measurement type:	3-D scan
Data mode:	Fluorescence
EX  Start WL:	220.0 nm
EX  End WL:	600.0 nm
EX Sampling interval:	5.0 nm
EM  Start WL:	230.0 nm
EM  End WL:	650.0 nm
EM Sampling interval:	5.0 nm
Scan speed:	12000 nm/min
EX Slit:	5.0 nm
EM Slit:	5.0 nm
PMT Voltage:	700 V
Response:	Auto 
Corrected spectra:	Off
Contour interval:	50.000

Peak integration
Integration method:	Rectangular
Sensitivity:	1
Threshold:	1.000

Peaks
No.	ApexEX/EM(nm)	Height(Data)
1	225.0/615.0	35.18
2	230.0/340.0	1217
3	230.0/610.0	34.50
4	230.0/625.0	31.96
5	235.0/595.0	35.46
6	240.0/265.0	300.6
7	240.0/385.0	1020
8	240.0/520.0	258.6
9	245.0/270.0	338.1
10	245.0/405.0	981.6
11	250.0/275.0	432.0
12	250.0/545.0	167.3
13	255.0/280.0	520.8
14	255.0/560.0	141.3
15	260.0/285.0	494.1
16	260.0/570.0	105.8
17	265.0/410.0	883.6
18	265.0/585.0	98.26
19	270.0/300.0	862.3
20	270.0/385.0	853.4
21	270.0/405.0	888.3
22	270.0/600.0	84.69
23	275.0/305.0	1174
24	275.0/610.0	87.50
25	280.0/310.0	1154
26	280.0/385.0	856.8
27	280.0/625.0	82.48
28	285.0/315.0	1121
29	285.0/635.0	60.46
30	290.0/325.0	1079
31	315.0/355.0	505.4
32	320.0/365.0	503.1
33	325.0/370.0	496.7
34	330.0/375.0	505.7
35	335.0/385.0	521.6
36	475.0/345.0	3.827
37	505.0/275.0	2.809
38	510.0/280.0	3.104
39	520.0/285.0	3.409
40	530.0/290.0	3.093
41	540.0/295.0	4.273
42	545.0/300.0	5.168
43	555.0/305.0	5.667
44	560.0/310.0	5.840
45	570.0/315.0	6.084
46	580.0/320.0	6.465
47	585.0/325.0	6.331

Data points
	220.0	225.0	230.0	235.0	240.0	245.0	250.0	255.0	260.0	265.0	270.0	275.0	280.0	285.0	290.0	295.0	300.0	305.0	310.0	315.0	320.0	325.0	330.0	335.0	340.0	345.0	350.0	355.0	360.0	365.0	370.0	375.0	380.0	385.0	390.0	395.0	400.0	405.0	410.0	415.0	420.0	425.0	430.0	435.0	440.0	445.0	450.0	455.0	460.0	465.0	470.0	475.0	480.0	485.0	490.0	495.0	500.0	505.0	510.0	515.0	520.0	525.0	530.0	535.0	540.0	545.0	550.0	555.0	560.0	565.0	570.0	575.0	580.0	585.0	590.0	595.0	600.0
230.0	31.29	282.1	695.6	241.0	16.38	6.432	4.940	4.369	3.549	3.410	3.065	2.796	2.543	2.110	1.907	1.485	1.369	1.270	1.043	0.984	0.973	0.909	0.815	0.832	0.738	0.686	0.624	0.670	0.611	0.600	0.592	0.546	0.471	0.482	0.446	0.438	0.449	0.415	0.413	0.419	0.404	0.409	0.386	0.343	0.339	0.338	0.525	1.321	2.190	1.789	0.796	0.355	0.287	0.251	0.267	0.277	0.299	0.300	0.306	0.324	0.272	0.304	0.294	0.321	0.323	0.290	0.282	0.341	0.304	0.300	0.302	0.331	0.286	0.289	0.296	0.298	0.307
235.0	40.42	101.0	525.0	857.8	353.9	27.42	5.854	4.416	3.980	3.514	3.521	2.698	2.516	2.431	1.894	1.760	1.374	1.092	1.181	0.971	0.969	1.022	0.756	0.802	0.672	0.700	0.605	0.659	0.565	0.562	0.580	0.550	0.501	0.490	0.423	0.489	0.478	0.400	0.396	0.440	0.356	0.419	0.328	0.394	0.441	0.325	0.376	0.579	1.104	1.991	3.128	3.250	1.970	0.516	0.294	0.294	0.272	0.329	0.313	0.297	0.341	0.364	0.292	0.293	0.284	0.305	0.267	0.339	0.277	0.259	0.319	0.287	0.284	0.320	0.326	0.282	0.310
240.0	69.88	73.95	175.6	868.3	1219	314.8	15.31	5.270	4.187	3.795	3.826	2.909	2.833	2.112	1.879	1.861	1.383	1.207	1.166	1.120	0.961	0.965	1.087	0.732	0.757	0.681	0.607	0.704	0.598	0.561	0.530	0.539	0.504	0.439	0.442	0.422	0.420	0.388	0.452	0.376	0.348	0.402	0.380	0.386	0.457	0.472	0.407	0.433	0.526	0.776	1.987	4.420	6.009	4.005	1.587	0.470	0.268	0.335	0.298	0.286	0.379	0.420	0.260	0.310	0.285	0.296	0.278	0.305	0.274	0.315	0.308	0.306	0.278	0.308	0.305	0.291	0.286
245.0	57.67	105.2	79.76	310.1	1354	1315	233.2	9.491	4.331	4.291	3.426	2.871	3.012	2.635	2.057	1.935	1.643	1.339	1.133	1.040	1.104	0.945	1.046	0.803	0.717	0.783	0.654	0.785	0.612	0.606	0.540	0.556	0.580	0.433	0.432	0.515	0.360	0.418	0.495	0.360	0.390	0.418	0.325	0.373	0.442	0.489	0.553	0.493	0.431	0.415	0.681	1.760	4.261	7.144	7.440	3.865	1.137	0.381	0.369	0.302	0.330	0.315	0.282	0.330	0.279	0.288	0.295	0.312	0.353	0.338	0.309	0.381	0.291	0.295	0.343	0.324	0.333
250.0	39.63	87.49	144.0	143.8	443.4	1281	1655	622.2	42.21	4.896	3.839	3.440	2.845	2.583	2.121	1.821	1.557	1.407	1.247	0.990	1.137	0.953	0.920	0.842	0.849	0.799	0.684	0.768	0.666	0.662	0.597	0.597	0.525	0.463	0.467	0.472	0.445	0.407	0.426	0.401	0.378	0.440	0.363	0.391	0.390	0.411	0.434	0.651	0.792	0.648	0.572	0.709	1.231	2.391	4.761	6.469	8.604	7.506	3.887	1.236	0.378	0.318	0.272	0.348	0.274	0.303	0.345	0.311	0.318	0.387	0.301	0.310	0.375	0.330	0.315	0.323	0.328
255.0	30.10	40.00	112.5	241.3	181.9	337.3	1234	2488	305.3	43.67	4.443	3.938	3.757	2.976	2.177	1.958	1.606	1.389	1.283	1.198	1.120	1.063	0.769	0.925	0.776	0.816	0.757	0.731	0.732	0.558	0.586	0.622	0.531	0.540	0.453	0.466	0.439	0.459	0.364	0.379	0.412	0.391	0.387	0.375	0.386	0.375	0.320	0.437	0.471	0.672	0.947	1.050	0.781	0.835	1.350	1.830	3.379	7.695	13.15	13.34	6.114	1.287	0.346	0.340	0.301	0.332	0.357	0.305	0.299	0.352	0.324	0.391	0.349	0.288	0.317	0.331	0.337
260.0	32.22	26.07	50.15	211.1	251.9	138.6	379.9	1954	2319	259.0	21.42	5.687	3.950	2.958	2.316	1.931	1.726	1.538	1.427	1.183	1.108	1.070	0.813	0.940	0.825	0.859	0.729	0.846	0.813	0.663	0.708	0.605	0.654	0.566	0.487	0.434	0.498	0.448	0.400	0.373	0.411	0.394	0.358	0.429	0.342	0.402	0.318	0.409	0.314	0.431	0.702	1.376	1.475	0.957	0.739	0.708	1.101	2.409	6.089	12.22	17.26	12.73	4.904	0.811	0.349	0.376	0.351	0.361	0.306	0.334	0.302	0.318	0.307	0.327	0.339	0.321	0.348
265.0	29.69	26.85	29.31	100.4	300.6	223.4	134.2	649.8	2577	2044	199.7	10.88	4.960	3.529	3.005	2.084	1.982	1.749	1.362	1.384	1.472	1.114	1.070	0.981	0.800	0.922	0.767	0.730	0.741	0.595	0.647	0.637	0.658	0.537	0.553	0.436	0.495	0.479	0.430	0.359	0.441	0.438	0.461	0.439	0.438	0.399	0.324	0.399	0.301	0.313	0.416	0.742	1.330	1.815	1.393	0.738	0.638	0.972	1.754	3.891	9.672	17.20	20.02	11.76	2.828	0.509	0.350	0.343	0.292	0.288	0.336	0.400	0.310	0.313	0.315	0.310	0.424
270.0	37.65	29.33	30.91	44.35	154.6	338.1	271.1	209.7	807.1	2259	2750	765.8	44.34	4.964	3.383	2.821	2.109	1.903	1.444	1.339	1.320	1.188	1.122	1.006	0.979	0.832	0.751	0.756	0.738	0.683	0.621	0.648	0.583	0.581	0.551	0.444	0.499	0.450	0.489	0.431	0.392	0.418	0.434	0.430	0.402	0.415	0.334	0.330	0.316	0.316	0.323	0.462	0.692	1.141	1.650	1.826	1.710	1.150	0.896	1.305	2.626	5.220	9.932	15.27	18.52	16.89	9.739	2.858	0.504	0.325	0.349	0.371	0.356	0.352	0.368	0.319	0.391
