Sample:	'1
File name:	Default_20230301_160956.FD3
Run date:	'16:03:35, 03/01/2023
Operator:	user
Comment:	'

Instrument
Model:	F-2700 FL Spectrophotometer
Serial number:	2190-003
ROM Version:	4J14000 07

Instrument parameters
Measurement type:	3-D scan
Data mode:	Fluorescence
EX  Start WL:	220.0 nm
EX  End WL:	600.0 nm
EX Sampling interval:	5.0 nm
EM  Start WL:	230.0 nm
EM  End WL:	650.0 nm
EM Sampling interval:	5.0 nm
Scan speed:	12000 nm/min
EX Slit:	5.0 nm
EM Slit:	5.0 nm
PMT Voltage:	700 V
Response:	Auto 
Corrected spectra:	Off
Contour interval:	50.000

Peak integration
Integration method:	Rectangular
Sensitivity:	1
Threshold:	1.000

Peaks
No.	ApexEX/EM(nm)	Height(Data)
1	225.0/315.0	563.7
2	225.0/335.0	608.7
3	225.0/345.0	616.7
4	225.0/525.0	137.8
5	225.0/560.0	52.36
6	225.0/590.0	100.5
7	225.0/620.0	73.60
8	225.0/635.0	47.17
9	230.0/370.0	547.9
10	230.0/520.0	137.0
11	230.0/640.0	56.55
12	235.0/395.0	526.2
13	235.0/420.0	480.8
14	235.0/505.0	207.5
15	235.0/540.0	87.00
16	235.0/585.0	48.65
17	235.0/600.0	51.49
18	240.0/435.0	437.3
19	240.0/515.0	168.6
20	240.0/555.0	64.24
21	240.0/615.0	28.97
22	245.0/355.0	467.3
23	245.0/380.0	559.3
24	245.0/395.0	518.0
25	245.0/420.0	491.5
26	245.0/565.0	53.60
27	245.0/640.0	27.22
28	250.0/375.0	520.8
29	250.0/540.0	106.2
30	255.0/400.0	493.6
31	255.0/415.0	506.8
32	255.0/550.0	100.2
33	255.0/560.0	97.66
34	260.0/365.0	461.8
35	260.0/565.0	117.1
36	265.0/395.0	471.0
37	265.0/445.0	440.9
38	265.0/465.0	376.8
39	265.0/580.0	162.3
40	270.0/245.0	16.34
41	270.0/295.0	 1802
42	270.0/375.0	484.0
43	270.0/405.0	460.9
44	270.0/435.0	442.7
45	270.0/590.0	168.1
46	275.0/300.0	 1830
47	275.0/390.0	460.0
48	280.0/615.0	94.13
49	285.0/235.0	6.516
50	285.0/250.0	9.184
51	285.0/395.0	448.3
52	290.0/640.0	39.44
53	305.0/240.0	4.023
54	305.0/340.0	397.4
55	310.0/345.0	353.8
56	315.0/280.0	7.160
57	315.0/585.0	14.82
58	320.0/260.0	5.238
59	320.0/360.0	332.4
60	325.0/240.0	2.742
61	325.0/365.0	340.2
62	325.0/605.0	6.851
63	330.0/245.0	3.227
64	330.0/255.0	2.792
65	335.0/380.0	322.9
66	340.0/235.0	2.793
67	340.0/385.0	317.6
68	350.0/395.0	270.8
69	355.0/405.0	266.8
70	355.0/620.0	4.158
71	360.0/275.0	2.272
72	365.0/245.0	1.804
73	365.0/295.0	2.597
74	365.0/415.0	230.5
75	370.0/255.0	2.252
76	370.0/425.0	215.1
77	375.0/280.0	1.782
78	380.0/265.0	2.165
79	385.0/260.0	2.361
80	385.0/600.0	4.621
81	390.0/235.0	2.387
82	390.0/295.0	2.732
83	390.0/325.0	3.799
84	400.0/300.0	2.628
85	410.0/320.0	2.480
86	410.0/625.0	2.825
87	415.0/485.0	56.72
88	420.0/255.0	1.358
89	420.0/635.0	1.658
90	425.0/260.0	1.691
91	425.0/325.0	3.193
92	430.0/250.0	1.477
93	430.0/270.0	1.560
94	430.0/505.0	34.12
95	435.0/245.0	1.448
96	435.0/285.0	2.054
97	435.0/510.0	29.31
98	440.0/340.0	2.223
99	440.0/515.0	25.45
100	445.0/525.0	20.60
101	450.0/530.0	17.67
102	455.0/540.0	14.04
103	480.0/365.0	2.357
104	485.0/360.0	2.314
105	485.0/580.0	3.824
106	490.0/400.0	2.468
107	505.0/395.0	2.602
108	520.0/360.0	2.265
109	530.0/405.0	2.022
110	540.0/380.0	2.696
111	540.0/605.0	2.235
112	545.0/300.0	4.242
113	545.0/370.0	2.061
114	550.0/355.0	2.424
115	565.0/320.0	2.736
116	565.0/465.0	2.319
117	570.0/335.0	2.638
118	570.0/415.0	2.333
119	575.0/385.0	1.746
120	585.0/405.0	1.899
121	590.0/475.0	2.131

Data points
	220.0	225.0	230.0	235.0	240.0	245.0	250.0	255.0	260.0	265.0	270.0	275.0	280.0	285.0	290.0	295.0	300.0	305.0	310.0	315.0	320.0	325.0	330.0	335.0	340.0	345.0	350.0	355.0	360.0	365.0	370.0	375.0	380.0	385.0	390.0	395.0	400.0	405.0	410.0	415.0	420.0	425.0	430.0	435.0	440.0	445.0	450.0	455.0	460.0	465.0	470.0	475.0	480.0	485.0	490.0	495.0	500.0	505.0	510.0	515.0	520.0	525.0	530.0	535.0	540.0	545.0	550.0	555.0	560.0	565.0	570.0	575.0	580.0	585.0	590.0	595.0	600.0
230.0	22.87	478.3	 3652	 2364	133.0	6.410	-0.960	-5.248	0.015	6.574	10.45	-1.173	6.626	2.646	-0.580	2.422	0.901	0.528	1.974	1.484	2.731	1.070	0.583	1.112	1.185	0.648	0.800	0.479	0.651	0.286	0.451	0.808	0.712	0.313	1.038	1.022	0.434	0.808	0.713	0.682	0.851	0.552	0.880	0.521	0.543	0.387	0.580	4.524	8.765	6.951	2.493	0.536	0.295	0.353	0.747	-0.082	0.330	0.137	0.101	0.039	0.033	0.087	0.088	-0.074	-0.062	0.315	-0.043	-0.082	-0.122	-0.113	0.093	0.086	-0.256	-0.500	-0.459	-0.066	-0.343
235.0	28.98	115.2	 1401	 3858	 2369	140.3	4.933	-1.120	6.260	1.527	9.443	-0.958	6.039	6.516	5.040	5.599	-1.508	1.928	2.361	1.232	1.805	-0.694	0.069	2.085	2.793	1.600	0.946	0.819	-0.938	0.667	2.004	0.936	-1.073	0.451	2.387	0.838	1.062	0.339	0.797	0.808	0.664	-0.034	1.691	0.371	0.502	-0.390	0.607	1.960	2.878	4.859	7.831	8.429	3.559	1.033	0.730	0.133	1.078	-0.152	0.385	0.265	-0.177	0.426	-0.323	-0.037	-0.476	0.001	-0.602	-0.045	0.007	0.320	0.027	-0.143	-0.518	-0.330	-0.552	-0.478	-0.167
240.0	26.16	101.7	368.0	 1966	 4695	 1797	99.20	-2.607	2.787	2.630	4.706	2.492	0.511	-1.200	1.200	5.578	0.026	4.023	2.889	0.859	1.685	2.742	0.472	0.643	0.963	0.710	-0.933	0.928	-0.518	0.309	1.084	1.008	-0.032	-0.533	2.021	0.470	0.105	0.407	0.658	1.122	0.448	0.537	0.931	0.228	1.327	0.524	1.496	0.464	0.898	1.788	3.689	8.805	11.31	8.779	2.495	0.610	-0.066	0.766	0.873	0.423	-0.045	0.561	-0.265	0.067	-0.318	-0.084	0.210	0.095	0.425	-0.025	0.234	-0.176	-0.376	-0.239	0.188	0.072	0.012
245.0	57.62	150.4	119.7	508.9	 2960	 5104	 1305	46.35	9.659	0.500	16.34	1.187	1.156	4.564	4.187	4.299	3.468	3.369	2.623	1.318	2.260	2.014	3.227	0.275	0.645	0.315	-0.247	0.527	-1.191	1.804	0.044	-0.252	1.771	0.835	1.096	-0.199	0.037	0.452	0.629	0.885	0.165	1.189	0.279	1.448	0.830	0.444	0.921	0.476	0.701	0.961	1.093	2.859	6.612	13.85	14.39	7.323	1.408	0.508	0.277	0.180	0.219	0.307	0.331	0.489	-0.008	0.134	-0.205	0.341	0.683	0.343	0.564	0.359	-0.412	-0.122	0.135	-0.359	-0.341
250.0	12.51	44.98	103.9	194.3	764.2	 2843	 5126	 3219	378.2	11.01	6.816	4.540	-0.141	9.184	1.269	5.297	2.141	1.688	1.933	-0.040	2.787	0.826	1.760	1.284	-0.181	1.885	0.286	0.690	-1.210	1.426	0.591	0.531	1.199	0.805	0.575	0.208	0.307	0.354	0.203	0.203	0.726	1.070	1.477	0.745	0.516	0.283	0.807	0.472	1.103	1.059	0.449	0.852	1.748	4.567	8.702	12.45	16.12	12.40	6.185	1.204	0.201	0.339	-0.030	0.021	-0.009	0.287	0.264	-0.055	-0.608	0.047	-0.206	0.185	0.109	-0.292	-0.306	-0.509	-0.363
255.0	19.88	16.63	61.67	166.0	277.9	653.8	 2070	 7156	 5529	489.1	9.702	4.826	6.350	9.131	1.466	4.673	4.248	3.525	2.933	2.294	3.729	1.381	2.792	1.152	-0.727	1.472	0.716	0.886	0.921	0.786	2.252	-0.389	1.261	1.055	-0.974	0.270	0.302	1.025	0.767	0.637	1.358	0.683	1.048	0.764	0.341	0.591	1.181	0.771	0.857	0.794	0.671	0.352	0.702	0.623	1.924	3.404	5.727	12.88	26.08	22.83	8.815	0.463	0.973	-0.217	0.092	0.398	0.032	0.053	-0.130	0.239	0.119	-0.002	-0.536	-0.738	-0.429	-0.259	-0.620
260.0	-42.58	4.003	37.71	112.8	210.4	194.4	502.5	 3399	 9463	 4901	223.4	18.09	15.26	4.039	3.119	1.765	1.636	5.125	1.646	3.755	5.238	0.874	0.304	1.550	1.528	2.035	1.691	0.915	-0.555	2.082	1.820	1.393	1.671	2.361	-0.274	-0.358	0.259	1.024	0.331	0.571	0.935	1.691	0.242	0.147	0.394	0.283	0.217	0.894	0.557	0.197	0.551	0.800	0.780	0.576	0.683	1.096	1.499	3.106	12.75	25.26	30.59	20.32	5.348	0.145	0.329	0.150	-0.109	-0.222	0.277	-0.089	0.262	-0.284	-0.688	-0.132	-0.272	-0.330	-1.451
265.0	42.24	27.87	0.790	66.32	171.9	201.2	146.4	850.5	 5359	9999.9	 1314	91.69	11.68	8.263	5.220	-2.972	0.944	4.628	2.831	2.860	0.564	2.069	0.884	0.851	-0.122	1.057	1.058	0.467	1.145	0.786	1.901	0.933	2.165	0.728	0.538	0.811	0.149	0.709	0.842	0.754	0.798	1.188	1.493	0.779	0.186	0.008	0.316	0.574	0.649	0.542	0.580	0.404	0.476	1.188	0.794	-0.015	0.955	0.607	3.395	8.123	20.15	33.59	32.81	13.65	2.124	0.450	-0.022	-0.029	-0.177	-0.072	0.027	-0.386	-0.123	0.453	-0.789	-0.407	-0.453
