Sample:	'1
File name:	Default_20230203_120555.FD3
Run date:	'11:59:33, 02/03/2023
Operator:	user
Comment:	'

Instrument
Model:	F-2700 FL Spectrophotometer
Serial number:	2190-003
ROM Version:	4J14000 07

Instrument parameters
Measurement type:	3-D scan
Data mode:	Fluorescence
EX  Start WL:	220.0 nm
EX  End WL:	600.0 nm
EX Sampling interval:	5.0 nm
EM  Start WL:	230.0 nm
EM  End WL:	650.0 nm
EM Sampling interval:	5.0 nm
Scan speed:	12000 nm/min
EX Slit:	5.0 nm
EM Slit:	5.0 nm
PMT Voltage:	700 V
Response:	Auto 
Corrected spectra:	Off
Contour interval:	50.000

Peak integration
Integration method:	Rectangular
Sensitivity:	1
Threshold:	1.000

Peaks
No.	ApexEX/EM(nm)	Height(Data)
1	230.0/495.0	-90.69
2	235.0/510.0	-70.37
3	240.0/260.0	118.1
4	240.0/520.0	-37.54
5	245.0/265.0	149.8
6	245.0/530.0	-33.07
7	250.0/365.0	339.2
8	255.0/450.0	-14.67
9	255.0/555.0	3.497
10	260.0/465.0	-25.40
11	260.0/485.0	-28.03
12	265.0/415.0	44.04
13	265.0/580.0	136.5
14	270.0/295.0	 2689
15	270.0/590.0	183.9
16	275.0/300.0	 2493
17	275.0/545.0	651.1
18	280.0/390.0	57.18
19	285.0/485.0	-10.77
20	290.0/575.0	486.3
21	290.0/635.0	2.273
22	295.0/390.0	54.73
23	295.0/495.0	-6.499
24	300.0/335.0	241.9
25	300.0/395.0	54.10
26	305.0/270.0	-15.56
27	305.0/340.0	292.6
28	305.0/500.0	-4.006
29	305.0/525.0	-9.547
30	310.0/345.0	270.2
31	310.0/385.0	56.10
32	310.0/445.0	27.87
33	315.0/245.0	-10.56
34	315.0/350.0	198.7
35	315.0/395.0	54.32
36	320.0/360.0	201.9
37	325.0/235.0	-10.80
38	325.0/365.0	210.9
39	330.0/260.0	-8.381
40	330.0/295.0	-8.935
41	330.0/370.0	161.6
42	330.0/535.0	-5.063
43	330.0/605.0	-7.773
44	335.0/375.0	163.8
45	335.0/465.0	16.32
46	340.0/385.0	167.1
47	340.0/540.0	-4.265
48	345.0/390.0	136.8
49	350.0/235.0	-7.384
50	350.0/290.0	-7.206
51	350.0/310.0	-6.844
52	350.0/395.0	132.0
53	350.0/530.0	-2.697
54	355.0/275.0	-7.330
55	355.0/405.0	127.9
56	355.0/600.0	-6.661
57	360.0/270.0	-7.074
58	360.0/410.0	101.3
59	360.0/465.0	18.62
60	365.0/415.0	98.34
61	370.0/425.0	83.74
62	375.0/430.0	68.74
63	380.0/245.0	-5.414
64	380.0/435.0	67.82
65	385.0/300.0	-1.347
66	385.0/445.0	56.52
67	390.0/450.0	45.35
68	395.0/455.0	39.50
69	400.0/465.0	34.56
70	405.0/470.0	26.86
71	410.0/245.0	-3.918
72	410.0/475.0	21.65
73	415.0/340.0	-3.384
74	415.0/485.0	18.78
75	420.0/490.0	14.38
76	425.0/495.0	12.25
77	430.0/505.0	11.71
78	435.0/510.0	7.630
79	440.0/300.0	-1.446
80	440.0/515.0	6.424
81	440.0/585.0	-3.529
82	445.0/410.0	-2.865
83	445.0/525.0	5.173
84	450.0/530.0	4.193
85	455.0/540.0	3.105
86	460.0/545.0	2.120
87	465.0/550.0	1.250
88	470.0/560.0	0.653
89	480.0/380.0	-2.205
90	480.0/575.0	-1.421
91	490.0/375.0	-2.031
92	490.0/585.0	-2.048
93	495.0/600.0	-2.205
94	505.0/450.0	-2.856
95	505.0/605.0	-2.552
96	535.0/295.0	1.679
97	535.0/420.0	-2.847
98	540.0/300.0	1.881
99	555.0/480.0	-2.915
100	565.0/465.0	-2.738
101	580.0/235.0	-3.212
102	580.0/320.0	-2.337
103	595.0/330.0	-2.345

Data points
	220.0	225.0	230.0	235.0	240.0	245.0	250.0	255.0	260.0	265.0	270.0	275.0	280.0	285.0	290.0	295.0	300.0	305.0	310.0	315.0	320.0	325.0	330.0	335.0	340.0	345.0	350.0	355.0	360.0	365.0	370.0	375.0	380.0	385.0	390.0	395.0	400.0	405.0	410.0	415.0	420.0	425.0	430.0	435.0	440.0	445.0	450.0	455.0	460.0	465.0	470.0	475.0	480.0	485.0	490.0	495.0	500.0	505.0	510.0	515.0	520.0	525.0	530.0	535.0	540.0	545.0	550.0	555.0	560.0	565.0	570.0	575.0	580.0	585.0	590.0	595.0	600.0
230.0	-323.6	198.1	 2687	 1490	-64.83	-122.8	-96.64	-87.04	-78.34	-68.70	-66.18	-53.58	-49.28	-38.64	-30.85	-26.55	-23.89	-19.21	-17.90	-15.63	-14.13	-11.86	-11.50	-9.655	-9.647	-8.963	-8.794	-8.685	-8.111	-7.938	-7.572	-7.119	-6.690	-6.162	-5.769	-5.326	-5.296	-5.354	-4.864	-4.875	-4.896	-4.759	-4.507	-4.530	-4.385	-4.109	-3.135	-0.693	2.113	1.470	-1.485	-3.267	-3.330	-3.588	-3.444	-3.836	-3.824	-3.683	-3.779	-3.679	-3.487	-4.009	-4.065	-4.005	-3.734	-4.129	-3.790	-4.040	-4.104	-4.318	-3.895	-3.889	-3.592	-4.062	-4.198	-4.037	-4.139
235.0	-222.3	-132.7	814.4	 2283	 1144	-39.44	-87.39	-82.65	-75.47	-72.69	-68.47	-52.12	-44.94	-39.01	-26.94	-25.79	-22.49	-21.60	-16.71	-14.79	-14.58	-10.80	-11.91	-11.27	-9.654	-7.405	-7.384	-8.240	-8.877	-6.931	-7.650	-6.038	-6.889	-5.671	-5.058	-5.063	-5.812	-5.139	-4.377	-4.803	-4.847	-5.030	-4.356	-4.361	-3.774	-4.188	-2.977	-2.833	-1.701	0.172	1.965	0.863	-1.651	-3.433	-2.800	-3.639	-3.624	-3.568	-3.900	-3.058	-3.397	-4.298	-4.510	-3.338	-4.477	-3.934	-3.899	-4.278	-4.201	-3.946	-3.454	-4.144	-3.212	-4.178	-4.723	-4.279	-4.692
240.0	-239.9	-149.1	29.88	989.5	 2271	961.3	-66.89	-92.77	-73.99	-68.12	-63.92	-58.04	-48.96	-39.05	-30.65	-26.27	-23.07	-18.99	-17.18	-13.73	-13.51	-11.22	-12.39	-11.42	-9.724	-8.605	-9.080	-7.892	-8.479	-7.134	-7.762	-7.459	-7.268	-7.046	-5.321	-4.722	-6.287	-4.700	-5.396	-4.666	-3.988	-5.128	-4.216	-4.352	-4.577	-4.389	-3.841	-3.265	-3.211	-2.247	-0.617	1.039	1.986	-0.764	-2.675	-3.655	-4.068	-3.369	-3.533	-3.038	-3.023	-4.432	-4.031	-4.224	-3.337	-3.732	-4.065	-4.018	-3.976	-3.522	-3.912	-4.545	-4.191	-3.941	-4.761	-4.477	-4.130
245.0	-288.1	-110.7	-91.54	122.4	 1270	 2417	550.2	-82.60	-77.32	-68.38	-69.80	-51.62	-43.23	-30.93	-31.66	-24.87	-21.31	-19.12	-18.78	-10.56	-13.34	-11.26	-11.62	-10.74	-9.157	-9.229	-8.686	-7.280	-8.129	-6.801	-7.668	-7.588	-5.414	-6.579	-6.268	-5.485	-6.086	-5.316	-3.918	-4.129	-4.545	-4.613	-4.565	-4.925	-3.658	-4.409	-3.535	-3.212	-3.350	-2.934	-1.918	-2.279	0.029	1.568	1.386	-1.551	-3.450	-3.743	-3.388	-4.336	-3.773	-4.250	-3.797	-4.061	-3.403	-3.329	-4.082	-4.260	-3.980	-4.037	-4.729	-4.448	-4.646	-3.773	-4.231	-4.105	-4.231
250.0	-304.5	-205.3	-79.75	-1.839	227.3	 1293	 1815	907.0	44.39	-71.07	-65.15	-50.56	-46.96	-36.10	-29.07	-25.16	-21.56	-19.13	-17.18	-13.89	-12.34	-13.18	-11.06	-9.088	-9.574	-9.352	-8.454	-8.685	-8.672	-7.868	-6.997	-7.422	-6.681	-5.856	-6.271	-5.601	-5.636	-5.180	-5.017	-4.244	-4.506	-4.504	-4.508	-4.172	-4.227	-4.253	-3.263	-3.206	-3.146	-2.643	-2.367	-3.241	-2.667	-1.952	-0.409	0.848	1.672	0.112	-1.900	-3.445	-3.356	-3.879	-4.035	-3.546	-4.018	-3.446	-3.771	-3.894	-4.185	-4.277	-4.179	-4.093	-4.420	-3.855	-4.146	-4.188	-4.553
255.0	-337.5	-260.2	-188.7	21.60	57.62	207.9	669.4	 2152	 1341	67.67	-61.92	-55.72	-45.39	-34.60	-28.12	-24.47	-20.12	-16.79	-16.53	-13.84	-12.80	-13.39	-11.04	-9.864	-9.838	-8.538	-8.166	-7.860	-9.988	-7.751	-8.074	-6.531	-6.665	-5.033	-5.771	-5.048	-4.575	-4.605	-5.166	-4.455	-4.274	-4.443	-4.229	-4.237	-4.065	-3.567	-3.081	-3.312	-3.459	-3.261	-2.552	-2.453	-3.104	-3.026	-2.717	-2.840	-1.288	1.113	4.508	2.935	-1.109	-3.182	-3.493	-4.272	-4.101	-3.746	-4.158	-3.956	-4.440	-4.007	-4.099	-4.340	-4.096	-4.473	-4.306	-4.487	-4.105
260.0	-281.1	-237.4	-174.8	-61.27	118.1	12.71	82.26	999.8	 2632	 1082	6.953	-57.78	-44.80	-39.52	-31.00	-23.72	-18.58	-19.27	-13.89	-14.09	-14.42	-12.00	-8.381	-10.13	-10.09	-8.318	-8.386	-8.822	-8.234	-7.563	-7.677	-7.163	-6.222	-5.053	-5.549	-5.459	-5.150	-4.691	-4.904	-5.114	-4.930	-4.458	-5.186	-4.259	-3.752	-4.171	-3.557	-3.808	-3.438	-3.077	-2.625	-2.709	-2.827	-3.480	-2.890	-3.728	-3.666	-2.645	1.091	4.220	5.922	1.931	-2.384	-3.405	-3.589	-3.352	-3.943	-4.122	-3.978	-3.596	-4.235	-3.824	-4.214	-4.309	-4.146	-3.788	-4.016
