Sample:	'1
File name:	t2025061610�ɽբ.FD3
Run date:	'12:47:17, 06/18/2025
Operator:	Administrator
Comment:	'

Instrument
Model:	F-2700 FL Spectrophotometer
Serial number:	23B8-004
ROM Version:	4J14000 07

Instrument parameters
Measurement type:	3-D scan
Data mode:	Fluorescence
EX  Start WL:	220.0 nm
EX  End WL:	600.0 nm
EX Sampling interval:	5.0 nm
EM  Start WL:	230.0 nm
EM  End WL:	650.0 nm
EM Sampling interval:	5.0 nm
Scan speed:	12000 nm/min
EX Slit:	5.0 nm
EM Slit:	5.0 nm
PMT Voltage:	700 V
Response:	Auto 
Corrected spectra:	Off
Contour interval:	50.000

Peak integration
Integration method:	Rectangular
Sensitivity:	1
Threshold:	1.000

Peaks
No.	ApexEX/EM(nm)	Height(Data)
1	225.0/345.0	1480
2	225.0/360.0	1495
3	225.0/380.0	1473
4	225.0/410.0	1423
5	225.0/640.0	66.82
6	240.0/265.0	284.7
7	245.0/270.0	272.6
8	245.0/535.0	252.0
9	255.0/285.0	406.0
10	255.0/560.0	150.4
11	260.0/290.0	461.9
12	260.0/575.0	117.4
13	265.0/380.0	1192
14	265.0/585.0	109.4
15	270.0/300.0	993.3
16	270.0/375.0	1185
17	270.0/600.0	102.5
18	275.0/305.0	1134
19	275.0/345.0	1167
20	275.0/370.0	1173
21	275.0/610.0	90.53
22	280.0/315.0	1119
23	280.0/625.0	79.91
24	285.0/320.0	1095
25	285.0/635.0	59.60
26	505.0/275.0	2.278
27	510.0/280.0	2.801
28	520.0/285.0	2.936
29	545.0/300.0	5.363
30	550.0/305.0	5.710
31	560.0/310.0	5.831
32	565.0/340.0	5.554
33	570.0/315.0	5.844
34	585.0/325.0	5.704

Data points
	220.0	225.0	230.0	235.0	240.0	245.0	250.0	255.0	260.0	265.0	270.0	275.0	280.0	285.0	290.0	295.0	300.0	305.0	310.0	315.0	320.0	325.0	330.0	335.0	340.0	345.0	350.0	355.0	360.0	365.0	370.0	375.0	380.0	385.0	390.0	395.0	400.0	405.0	410.0	415.0	420.0	425.0	430.0	435.0	440.0	445.0	450.0	455.0	460.0	465.0	470.0	475.0	480.0	485.0	490.0	495.0	500.0	505.0	510.0	515.0	520.0	525.0	530.0	535.0	540.0	545.0	550.0	555.0	560.0	565.0	570.0	575.0	580.0	585.0	590.0	595.0	600.0
230.0	122.9	1711	2530	477.2	16.84	7.340	5.908	4.953	4.370	3.989	3.940	3.669	3.506	2.725	2.304	2.011	1.627	1.652	1.399	1.321	1.244	1.021	1.040	1.049	0.960	0.917	0.850	0.811	0.724	0.690	0.691	0.669	0.521	0.590	0.555	0.501	0.540	0.468	0.449	0.456	0.642	0.678	0.618	0.447	0.378	0.513	2.376	7.523	9.278	5.160	1.502	0.481	0.290	0.324	0.294	0.278	0.282	0.286	0.295	0.283	0.328	0.299	0.309	0.290	0.285	0.303	0.281	0.290	0.327	0.322	0.282	0.300	0.282	0.328	0.287	0.306	0.336
235.0	136.7	515.0	1961	2386	453.7	24.87	7.045	5.718	5.048	4.516	4.034	3.438	3.469	2.942	2.119	1.791	1.638	1.549	1.499	1.434	1.344	1.216	1.139	0.995	0.920	0.883	0.808	0.738	0.730	0.762	0.831	0.578	0.576	0.584	0.613	0.571	0.571	0.476	0.419	0.405	0.505	0.530	0.706	0.693	0.563	0.428	0.818	2.187	4.486	6.879	9.118	7.864	3.061	0.672	0.319	0.343	0.303	0.242	0.315	0.293	0.311	0.283	0.273	0.243	0.306	0.325	0.320	0.309	0.272	0.292	0.292	0.283	0.291	0.270	0.335	0.331	0.342
240.0	202.8	192.2	670.0	2514	2387	337.3	13.10	6.188	5.938	4.514	3.851	3.565	3.453	3.091	2.334	1.797	1.672	1.418	1.525	1.312	1.248	1.126	0.950	1.047	0.920	0.935	0.964	0.696	0.680	0.731	0.661	0.629	0.626	0.733	0.565	0.516	0.495	0.541	0.465	0.428	0.420	0.408	0.535	0.675	0.820	0.627	0.549	0.794	1.331	2.412	5.877	12.10	12.50	7.450	2.145	0.463	0.367	0.329	0.351	0.278	0.280	0.246	0.317	0.251	0.315	0.338	0.283	0.290	0.270	0.300	0.328	0.285	0.301	0.388	0.347	0.321	0.285
245.0	161.3	208.6	200.7	1015	3216	2216	223.4	7.847	6.582	5.488	4.955	4.153	3.372	3.196	2.559	2.220	1.860	1.691	1.499	1.347	1.320	1.192	1.170	1.006	0.947	0.973	0.884	0.816	0.853	0.870	0.606	0.667	0.568	0.589	0.592	0.441	0.476	0.536	0.419	0.547	0.426	0.440	0.476	0.449	0.536	0.757	0.775	0.679	0.560	0.800	1.645	4.733	10.87	16.58	13.70	6.100	1.536	0.361	0.346	0.328	0.307	0.272	0.346	0.285	0.287	0.252	0.348	0.317	0.310	0.306	0.400	0.290	0.323	0.335	0.339	0.286	0.314
250.0	71.39	159.9	196.0	288.4	1180	2967	3131	851.1	35.51	7.132	5.661	4.769	4.093	3.706	2.737	2.363	2.013	1.827	1.662	1.434	1.324	1.328	1.143	1.102	0.875	0.923	0.837	0.814	0.779	0.819	0.764	0.636	0.543	0.674	0.574	0.557	0.460	0.547	0.484	0.447	0.471	0.436	0.397	0.398	0.445	0.528	0.632	0.764	0.830	0.746	0.737	1.376	2.894	5.966	10.36	14.63	18.07	14.56	6.906	1.730	0.358	0.289	0.322	0.296	0.301	0.313	0.336	0.288	0.342	0.321	0.323	0.299	0.336	0.310	0.309	0.321	0.327
255.0	43.71	62.94	169.5	248.1	316.8	835.9	3282	4999	294.1	31.62	7.129	6.743	4.524	4.091	3.454	2.668	2.227	2.112	1.838	1.436	1.396	1.339	1.297	1.075	1.040	1.059	0.836	0.972	0.707	0.861	0.830	0.674	0.630	0.591	0.554	0.570	0.501	0.504	0.513	0.379	0.570	0.459	0.340	0.448	0.454	0.375	0.439	0.428	0.578	0.867	1.197	1.140	1.075	1.630	2.599	3.913	8.233	19.38	30.03	24.52	10.46	1.675	0.339	0.316	0.356	0.342	0.338	0.365	0.310	0.329	0.303	0.306	0.389	0.312	0.335	0.349	0.365
260.0	48.16	33.95	80.84	237.0	234.0	220.5	1130	5146	5078	239.2	16.84	7.709	6.174	4.925	3.817	3.452	2.346	2.335	1.856	1.645	1.555	1.338	1.319	1.148	1.244	1.013	1.076	0.954	0.836	0.874	0.939	0.722	0.758	0.585	0.520	0.544	0.626	0.511	0.460	0.460	0.480	0.442	0.372	0.419	0.434	0.432	0.425	0.407	0.391	0.486	0.957	1.519	1.360	0.952	0.934	1.139	2.276	5.718	15.55	31.08	32.30	21.93	7.140	0.909	0.355	0.337	0.323	0.383	0.314	0.358	0.300	0.331	0.353	0.279	0.365	0.352	0.332
265.0	43.74	27.26	35.66	131.2	284.7	161.2	282.9	2005	6889	4977	177.8	11.62	8.356	5.837	4.602	3.020	2.917	2.497	1.906	1.687	1.553	1.545	1.375	1.200	1.236	1.169	1.147	1.065	0.860	0.810	0.942	0.734	0.641	0.647	0.565	0.600	0.481	0.483	0.533	0.416	0.429	0.488	0.444	0.507	0.461	0.424	0.402	0.404	0.382	0.338	0.431	0.975	1.419	1.455	1.124	0.678	0.860	1.610	3.991	10.23	23.31	41.81	31.50	18.82	3.719	0.469	0.333	0.387	0.318	0.374	0.346	0.326	0.326	0.295	0.408	0.311	0.270
270.0	54.36	36.17	31.43	50.99	158.4	272.6	203.8	493.8	2428	6421	5678	764.3	38.92	8.318	5.633	4.288	3.654	2.944	2.389	2.130	1.690	1.448	1.566	1.370	1.151	1.166	1.109	1.120	1.007	0.880	0.864	0.753	0.706	0.715	0.709	0.556	0.607	0.593	0.549	0.493	0.506	0.526	0.433	0.497	0.507	0.484	0.405	0.462	0.434	0.355	0.356	0.517	0.699	0.958	1.434	1.559	1.364	0.926	1.270	2.685	5.837	13.26	22.02	35.61	36.40	35.48	13.70	4.168	0.592	0.401	0.383	0.398	0.369	0.352	0.417	0.367	0.335
